Name,Team,Name,WAR,NameASCII,PlayerId,MLBAMID
"Kyle Blanks","- - -","Kyle Blanks",3.6169188611279965,"Kyle Blanks",49,452035
"Andy Ibáñez","- - -","Andy Ibáñez",3.6095367552916597,"Andy Ibanez",18819,628451
"Curt Casali","- - -","Curt Casali",3.5988173144592137,"Curt Casali",12510,592200
"LaMonte Wade Jr.","- - -","LaMonte Wade Jr.",3.586580448377673,"LaMonte Wade Jr.",18126,664774
"Matt Adams","- - -","Matt Adams",3.586288328301065,"Matt Adams",9393,571431
"Stephen Vogt","- - -","Stephen Vogt",3.5789962593148967,"Stephen Vogt",5000,519390
"Jorge Alfaro","- - -","Jorge Alfaro",3.5722551271629808,"Jorge Alfaro",12180,595751
"Davis Schneider","TOR","Davis Schneider",3.570001162593836,"Davis Schneider",23565,676914
"Tyler Naquin","- - -","Tyler Naquin",3.5661560799324112,"Tyler Naquin",13359,571980
"Jeff Keppinger","- - -","Jeff Keppinger",3.5595240102069656,"Jeff Keppinger",3856,433898
"James Outman","- - -","James Outman",3.492744344940825,"James Outman",24770,681546
"Chris Johnson","- - -","Chris Johnson",3.470384524481127,"Chris Johnson",1191,453400
"Jared Triolo","PIT","Jared Triolo",3.46145285526404,"Jared Triolo",25807,669707
"Joe Crede","- - -","Joe Crede",3.458215834150235,"Joe Crede",227,150317
"Tyler Heineman","- - -","Tyler Heineman",3.455616822746766,"Tyler Heineman",13897,623168
"Jacob Wilson","OAK","Jacob Wilson",3.433572967202471,"Jacob Wilson",33266,805779
"Maikel Franco","- - -","Maikel Franco",3.3718079425407756,"Maikel Franco",12179,596748
"Erik Kratz","- - -","Erik Kratz",3.3700108368347577,"Erik Kratz",4403,456124
"Colt Keith","DET","Colt Keith",3.3659599725310225,"Colt Keith",27899,690993
"Lyle Overbay","- - -","Lyle Overbay",3.3552156482689863,"Lyle Overbay",1617,407489
"Carlos Delgado","NYM","Carlos Delgado",3.336845765906618,"Carlos Delgado",1297,113232
"Carlos Corporán","- - -","Carlos Corporán",3.332795322353009,"Carlos Corporan",5587,449786
"Luis García Jr.","WSN","Luis García Jr.",3.331900612153586,"Luis Garcia Jr.",20391,671277
"Yovani Gallardo","- - -","Yovani Gallardo",3.316463788563211,"Yovani Gallardo",8173,451596
"Garrett Mitchell","MIL","Garrett Mitchell",3.3082576273824498,"Garrett Mitchell",27555,669003
"Tyler Fitzgerald","SFG","Tyler Fitzgerald",3.294538452308673,"Tyler Fitzgerald",26208,666149
"Guillermo Heredia","- - -","Guillermo Heredia",3.294176255698687,"Guillermo Heredia",18721,628338
"Parker Meadows","DET","Parker Meadows",3.2927568466150188,"Parker Meadows",23800,678009
"Gabe Gross","- - -","Gabe Gross",3.281647131991103,"Gabe Gross",2184,408212
"Darin Ruf","- - -","Darin Ruf",3.2752510648511035,"Darin Ruf",9929,573131
"Travis Snider","- - -","Travis Snider",3.270470670641702,"Travis Snider",2830,501983
"Franmil Reyes","- - -","Franmil Reyes",3.238967125803012,"Franmil Reyes",14566,614177
"Brian Giles","SDP","Brian Giles",3.2149763234485382,"Brian Giles",990,114789
"Jim Edmonds","- - -","Jim Edmonds",3.208958535458327,"Jim Edmonds",1153,113744
"Daniel Robertson","- - -","Daniel Robertson",3.2086266829171723,"Daniel Robertson",14145,621002
"Barry Bonds","SFG","Barry Bonds",3.17811662431748,"Barry Bonds",1109,111188
"Alex Call","- - -","Alex Call",3.1775612033842986,"Alex Call",19296,669743
"Eric Chavez","- - -","Eric Chavez",3.1498829218621163,"Eric Chavez",906,136767
"JJ Bleday","- - -","JJ Bleday",3.1460133010513855,"JJ Bleday",26368,668709
"Joey Bart","- - -","Joey Bart",3.144872477018972,"Joey Bart",21524,663698
"Travis Jankowski","- - -","Travis Jankowski",3.135687364856569,"Travis Jankowski",13768,608671
"Jeff Kent","LAD","Jeff Kent",3.135416844723652,"Jeff Kent",1119,116999
"Drake Baldwin","ATL","Drake Baldwin",3.133962654040088,"Drake Baldwin",31539,686948
"David Bote","CHC","David Bote",3.1283655281534934,"David Bote",14593,623520
"Eduardo Núñez","- - -","Eduardo Núñez",3.1277940208517423,"Eduardo Nunez",6848,456488
"Micah Owings","- - -","Micah Owings",3.1274469917643297,"Micah Owings",4253,452249
"Greg Garcia","- - -","Greg Garcia",3.1151733539980153,"Greg Garcia",10951,594824
"Andy Dirks","DET","Andy Dirks",3.0748939766466563,"Andy Dirks",6453,543108
"José A. Martínez","- - -","José A. Martínez",3.06953525151895,"Jose A. Martinez",7996,500874
"Blake Perkins","MIL","Blake Perkins",3.064323352415928,"Blake Perkins",19921,663368
"Justin Maxwell","- - -","Justin Maxwell",3.0611082023088123,"Justin Maxwell",6827,452239
"Kyle Stowers","- - -","Kyle Stowers",3.059896231582742,"Kyle Stowers",26151,669065
"Bengie Molina","- - -","Bengie Molina",3.057837782347875,"Bengie Molina",24,134260
"Albert Almora Jr.","- - -","Albert Almora Jr.",3.0553772329557187,"Albert Almora Jr.",14109,546991
"Gary Sheffield","- - -","Gary Sheffield",3.0505246420488197,"Gary Sheffield",114,122111
"Miguel Olivo","- - -","Miguel Olivo",3.0392989830958888,"Miguel Olivo",1638,400018
"Mike Leake","- - -","Mike Leake",3.024619055618232,"Mike Leake",10130,502190
"Adam Kennedy","- - -","Adam Kennedy",2.995889669674656,"Adam Kennedy",19,150456
"Casey Kotchman","- - -","Casey Kotchman",2.989090943957911,"Casey Kotchman",1930,425773
"Fernando Tatis","NYM","Fernando Tatis",2.9878799403624283,"Fernando Tatis",798,123107
"Jason Kubel","- - -","Jason Kubel",2.9785781919701186,"Jason Kubel",2161,430585
"Jose Lopez","- - -","Jose Lopez",2.9768788849028565,"Jose Lopez",3114,430946
"Austin Nola","- - -","Austin Nola",2.973861628653504,"Austin Nola",15941,543592
"Kevin Plawecki","- - -","Kevin Plawecki",2.9649613180073486,"Kevin Plawecki",13807,608700
"John Buck","- - -","John Buck",2.9575701752554098,"John Buck",2041,407833
"Johan Rojas","PHI","Johan Rojas",2.9338725094152296,"Johan Rojas",24336,679032
"Spencer Torkelson","DET","Spencer Torkelson",2.9302663322576326,"Spencer Torkelson",27465,679529
"David Eckstein","- - -","David Eckstein",2.9187807778870933,"David Eckstein",10,275930
"Kenny Lofton","- - -","Kenny Lofton",2.908046673115683,"Kenny Lofton",246,117863
"Chris Coste","- - -","Chris Coste",2.904359799768126,"Chris Coste",7243,400120
"Conor Jackson","- - -","Conor Jackson",2.9041305147577274,"Conor Jackson",5997,433582
"Felipe Lopez","- - -","Felipe Lopez",2.9027458992608013,"Felipe Lopez",1311,150479
"Ehire Adrianza","- - -","Ehire Adrianza",2.868553871392892,"Ehire Adrianza",8418,501303
"Tim Beckham","- - -","Tim Beckham",2.867266224053868,"Tim Beckham",7949,542921
"Luis Guillorme","- - -","Luis Guillorme",2.864368838585631,"Luis Guillorme",16451,641645
"Eric Young Jr.","- - -","Eric Young Jr.",2.8583415113494617,"Eric Young Jr.",7158,458913
"Heliot Ramos","SFG","Heliot Ramos",2.8565828069400863,"Heliot Ramos",22515,671218
"Jonathan Aranda","TBR","Jonathan Aranda",2.8443146976169484,"Jonathan Aranda",21837,666018
"Dylan Carlson","- - -","Dylan Carlson",2.8205113466959233,"Dylan Carlson",20126,666185
"Rob Refsnyder","- - -","Rob Refsnyder",2.792704543867697,"Rob Refsnyder",13770,608701
"Ben Rice","NYY","Ben Rice",2.7878525906756515,"Ben Rice",29576,700250
"Leury García","- - -","Leury García",2.785093517851355,"Leury Garcia",5913,544725
"Brian Goodwin","- - -","Brian Goodwin",2.7816395499131037,"Brian Goodwin",12858,571718
"Evan Carter","TEX","Evan Carter",2.777022722800364,"Evan Carter",27790,694497
"Eric Hinske","- - -","Eric Hinske",2.7446500118247026,"Eric Hinske",1305,400134
"Trevor Larnach","MIN","Trevor Larnach",2.7366581014705504,"Trevor Larnach",21501,663616
"Wenceel Pérez","DET","Wenceel Pérez",2.733468575693011,"Wenceel Perez",22857,672761
"Travis Buck","- - -","Travis Buck",2.7316869732043725,"Travis Buck",4646,459941
"Dan Haren","- - -","Dan Haren",2.7277210850263622,"Dan Haren",1757,429717
"Jacob deGrom","- - -","Jacob deGrom",2.727394316065838,"Jacob deGrom",10954,594798
"Roman Anthony","BOS","Roman Anthony",2.7243825633441485,"Roman Anthony",31812,701350
"Matt Diaz","- - -","Matt Diaz",2.7041787669113706,"Matt Diaz",1771,429841
"Jody Gerut","- - -","Jody Gerut",2.7029853544012883,"Jody Gerut",1696,425506
"Tyler Soderstrom","OAK","Tyler Soderstrom",2.6983485406433037,"Tyler Soderstrom",27467,691016
"Colson Montgomery","CHW","Colson Montgomery",2.675403855621991,"Colson Montgomery",29712,695657
"Carlos Narváez","- - -","Carlos Narváez",2.6628893137946794,"Carlos Narvaez",19722,665966
"Nolan Jones","- - -","Nolan Jones",2.6617508766766083,"Nolan Jones",20529,666134
"Caleb Durbin","MIL","Caleb Durbin",2.6455680323988937,"Caleb Durbin",29646,702332
"Jason Giambi","- - -","Jason Giambi",2.64326288375305,"Jason Giambi",818,114739
"David Lough","- - -","David Lough",2.6400923066656787,"David Lough",7215,518953
"Ryan Schimpf","- - -","Ryan Schimpf",2.6041761487851285,"Ryan Schimpf",9953,572114
"Pedro Feliz","- - -","Pedro Feliz",2.5944088615165413,"Pedro Feliz",1112,150268
"Brian Bogusevic","- - -","Brian Bogusevic",2.5900972975756087,"Brian Bogusevic",4719,460131
"Nick Madrigal","- - -","Nick Madrigal",2.5893055971354326,"Nick Madrigal",20521,663611
"Trayce Thompson","- - -","Trayce Thompson",2.5542890562970633,"Trayce Thompson",9952,572204
"Nolan Gorman","STL","Nolan Gorman",2.5532107365337247,"Nolan Gorman",22263,669357
"Aaron Altherr","- - -","Aaron Altherr",2.5386835290464798,"Aaron Altherr",11270,571437
"Kyle Lewis","- - -","Kyle Lewis",2.5339547101260544,"Kyle Lewis",19508,641786
"Jesus Guzman","- - -","Jesus Guzman",2.5183356207949945,"Jesus Guzman",3118,461882
"A.J. Ellis","- - -","A.J. Ellis",2.5062335003411036,"A.J. Ellis",5677,454560
"Brendan Rodgers","- - -","Brendan Rodgers",2.495720172694811,"Brendan Rodgers",17907,663898
"Jung Hoo Lee","SFG","Jung Hoo Lee",2.48417010460185,"Jung Hoo Lee",33824,808982
"Ramon Castro","- - -","Ramon Castro",2.4741399528981196,"Ramon Castro",514,135783
"Casper Wells","- - -","Casper Wells",2.473595357376604,"Casper Wells",9700,489413
"Nathan Lukes","TOR","Nathan Lukes",2.471818816253705,"Nathan Lukes",18123,664770
"Scott Schebler","- - -","Scott Schebler",2.458275081489113,"Scott Schebler",12225,594988
"Nick Johnson","- - -","Nick Johnson",2.4287573025314066,"Nick Johnson",828,276376
"Isaac Collins","MIL","Isaac Collins",2.414095994173776,"Isaac Collins",25477,686555
"Alfredo Amezaga","- - -","Alfredo Amezaga",2.3693537598249526,"Alfredo Amezaga",1,407792
"Kevin Newman","- - -","Kevin Newman",2.367688119378045,"Kevin Newman",17696,621028
"Eric Byrnes","- - -","Eric Byrnes",2.3538713504687125,"Eric Byrnes",905,291565
"Seby Zavala","- - -","Seby Zavala",2.3234313858861766,"Seby Zavala",18887,664874
"Mark Vientos","NYM","Mark Vientos",2.304532841545554,"Mark Vientos",22184,668901
"Elijah Dukes","- - -","Elijah Dukes",2.2952977684988594,"Elijah Dukes",4946,452668
"John Mayberry Jr.","- - -","John Mayberry Jr.",2.2796476738168825,"John Mayberry Jr.",3390,460055
"Alex Dickerson","- - -","Alex Dickerson",2.267359095909899,"Alex Dickerson",12649,543105
"Chris Gimenez","- - -","Chris Gimenez",2.2622794723411737,"Chris Gimenez",7324,460269
"Dewayne Wise","- - -","Dewayne Wise",2.241284262335565,"Dewayne Wise",1554,276547
"Connor Joe","- - -","Connor Joe",2.219908968002517,"Connor Joe",16572,656582
"Triston Casas","BOS","Triston Casas",2.218011628924947,"Triston Casas",22514,671213
"Kelby Tomlinson","SFG","Kelby Tomlinson",2.205617459826447,"Kelby Tomlinson",13005,605509
"Brett Baty","NYM","Brett Baty",2.1723902741101666,"Brett Baty",26123,683146
"Christian Villanueva","SDP","Christian Villanueva",2.169074016716156,"Christian Villanueva",11738,570799
"Jose Tabata","PIT","Jose Tabata",2.168468903438143,"Jose Tabata",2411,467798
"Kirk Nieuwenhuis","- - -","Kirk Nieuwenhuis",2.16720744642718,"Kirk Nieuwenhuis",6400,543590
"Nick Gonzales","PIT","Nick Gonzales",2.1637867533647586,"Nick Gonzales",27490,693304
"Christopher Morel","- - -","Christopher Morel",2.1555016664711104,"Christopher Morel",21897,666624
"Brian Schneider","- - -","Brian Schneider",2.1528838548554354,"Brian Schneider",795,150411
"Jakob Marsee","MIA","Jakob Marsee",2.1493591737680053,"Jakob Marsee",31370,805300
"Nolan Schanuel","LAA","Nolan Schanuel",2.1469455194001665,"Nolan Schanuel",33189,694384
"Laynce Nix","- - -","Laynce Nix",2.132658161279408,"Laynce Nix",1766,425556
"Ben Francisco","- - -","Ben Francisco",2.1245500747251995,"Ben Francisco",4677,450204
"Bradley Zimmer","- - -","Bradley Zimmer",2.1182679482549975,"Bradley Zimmer",16221,605548
"Miguel Amaya","CHC","Miguel Amaya",2.115615597575993,"Miguel Amaya",21693,665804
"Scott Podsednik","- - -","Scott Podsednik",2.109455792437669,"Scott Podsednik",1095,325392
"Juan Francisco","- - -","Juan Francisco",2.107117723815956,"Juan Francisco",6978,464433
"Chad Pinder","OAK","Chad Pinder",2.1009058179339046,"Chad Pinder",15191,640461
"Jake Cave","- - -","Jake Cave",2.0917490760452297,"Jake Cave",14477,595909
"Ian Stewart","- - -","Ian Stewart",2.089673135829062,"Ian Stewart",5950,456655
"Travis Wood","- - -","Travis Wood",2.0855247903404677,"Travis Wood",9884,475243
"Nomar Mazara","- - -","Nomar Mazara",2.080635912752712,"Nomar Mazara",14553,608577
"Dontrelle Willis","- - -","Dontrelle Willis",2.0674355228786956,"Dontrelle Willis",1703,425883
"Moises Alou","NYM","Moises Alou",2.0670555456170123,"Moises Alou",261,110189
"Reed Johnson","- - -","Reed Johnson",2.057351110237777,"Reed Johnson",1702,407862
"Jack Suwinski","PIT","Jack Suwinski",2.052329745292959,"Jack Suwinski",22244,669261
"Wilson Betemit","- - -","Wilson Betemit",2.05146664691271,"Wilson Betemit",1861,400140
"Pedro Pagés","STL","Pedro Pagés",2.047303538991103,"Pedro Pages",25782,686780
"Eli Whiteside","- - -","Eli Whiteside",2.0408165211899854,"Eli Whiteside",3536,434630
"Keston Hiura","- - -","Keston Hiura",2.036627777101896,"Keston Hiura",20003,669374
"Seth Brown","OAK","Seth Brown",2.019966740459015,"Seth Brown",18171,664913
"Stone Garrett","- - -","Stone Garrett",1.9969155181066016,"Stone Garrett",19273,656448
"David Dahl","- - -","David Dahl",1.9942424715601326,"David Dahl",13744,621311
"Miguel Cairo","- - -","Miguel Cairo",1.98818445517301,"Miguel Cairo",1412,111867
"Mike Brosseau","- - -","Mike Brosseau",1.9846292378085602,"Mike Brosseau",19683,670712
"Luke Maile","- - -","Luke Maile",1.9819437106545383,"Luke Maile",13355,571912
"Gabe Kapler","- - -","Gabe Kapler",1.973272824820066,"Gabe Kapler",1256,137002
"Jose Lobatón","- - -","Jose Lobatón",1.9690475516421353,"Jose Lobaton",4243,446653
"Nick Hundley","- - -","Nick Hundley",1.960833637684794,"Nick Hundley",3376,460026
"Joe Inglett","- - -","Joe Inglett",1.9601814897059908,"Joe Inglett",7254,446928
"Endy Chavez","- - -","Endy Chavez",1.949222567100719,"Endy Chavez",768,346795
"Adam Rosales","- - -","Adam Rosales",1.939392888603636,"Adam Rosales",9682,489267
"John Ryan Murphy","- - -","John Ryan Murphy",1.9034628372294486,"John Ryan Murphy",10346,571974
"Alec Burleson","STL","Alec Burleson",1.9009441036087296,"Alec Burleson",27615,676475
"Tyler Colvin","- - -","Tyler Colvin",1.900535056670392,"Tyler Colvin",5310,502125
"Blake DeWitt","- - -","Blake DeWitt",1.897412286964322,"Blake DeWitt",7485,455088
"Brad Hawpe","- - -","Brad Hawpe",1.892922593266901,"Brad Hawpe",1885,425547
"Max Schuemann","OAK","Max Schuemann",1.8927212637398017,"Max Schuemann",24488,680474
"Ben Gamel","- - -","Ben Gamel",1.8892209149755512,"Ben Gamel",12160,592325
"Akil Baddoo","DET","Akil Baddoo",1.880859620545311,"Akil Baddoo",22168,668731
"Rafael Ortega","- - -","Rafael Ortega",1.8803647884600514,"Rafael Ortega",10323,542364
"Kyle Teel","CHW","Kyle Teel",1.8794925297015914,"Kyle Teel",33549,691019
"Jeff Francoeur","- - -","Jeff Francoeur",1.8764450040617353,"Jeff Francoeur",4792,425796
"Addison Barger","TOR","Addison Barger",1.8682538923816736,"Addison Barger",24598,680718
"Brendan Harris","- - -","Brendan Harris",1.867993897383017,"Brendan Harris",2178,430593
"Anthony Gose","- - -","Anthony Gose",1.8671784304949886,"Anthony Gose",5097,543238
"Daniel Vogelbach","- - -","Daniel Vogelbach",1.8660988718849154,"Daniel Vogelbach",14130,596129
"Mark Loretta","- - -","Mark Loretta",1.8580130198209093,"Mark Loretta",1383,117928
"Harold Ramírez","- - -","Harold Ramírez",1.8505244059409582,"Harold Ramirez",14387,623912
"Wilin Rosario","COL","Wilin Rosario",1.8473850042452526,"Wilin Rosario",8002,501647
"Hunter Goodman","COL","Hunter Goodman",1.8433767824085323,"Hunter Goodman",29715,696100
"Ezequiel Carrera","- - -","Ezequiel Carrera",1.8375441917034805,"Ezequiel Carrera",9048,485567
"Michael Massey","KCR","Michael Massey",1.835424093862627,"Michael Massey",27684,686681
"Tim Hudson","- - -","Tim Hudson",1.828984069500772,"Tim Hudson",921,218596
"Jake Mangum","TBR","Jake Mangum",1.827989891449033,"Jake Mangum",26202,663968
"Edouard Julien","MIN","Edouard Julien",1.8087237596531425,"Edouard Julien",27534,666397
"Donnie Murphy","- - -","Donnie Murphy",1.7969214243996416,"Donnie Murphy",4704,430906
"Cody Ransom","- - -","Cody Ransom",1.7802934391492264,"Cody Ransom",1126,285068
"Paulo Orlando","KCR","Paulo Orlando",1.7761742916817587,"Paulo Orlando",8628,449181
"Paul Bako","- - -","Paul Bako",1.7761503663964846,"Paul Bako",676,132720
"Jeremy Hermida","- - -","Jeremy Hermida",1.7720537071619205,"Jeremy Hermida",7208,435181
"Tony Campana","- - -","Tony Campana",1.7719840377321114,"Tony Campana",4964,542999
"Óscar Mercado","- - -","Óscar Mercado",1.771392146884869,"Oscar Mercado",16375,640458
"Jorge Cantu","- - -","Jorge Cantu",1.7622000029591542,"Jorge Cantu",2521,408305
"Ezequiel Duran","TEX","Ezequiel Duran",1.7558912310187884,"Ezequiel Duran",23733,677649
"Ronald Torreyes","- - -","Ronald Torreyes",1.7492468718811338,"Ronald Torreyes",11400,591720
"Roman Quinn","- - -","Roman Quinn",1.7458446812538502,"Roman Quinn",13546,596451
"Travis Ishikawa","- - -","Travis Ishikawa",1.7398107700060463,"Travis Ishikawa",4793,448170
"Collin Cowgill","- - -","Collin Cowgill",1.731265473382634,"Collin Cowgill",7250,518577
"Augie Ojeda","ARI","Augie Ojeda",1.7294170299477671,"Augie Ojeda",297,324432
"Jeff Baker","- - -","Jeff Baker",1.720491622376938,"Jeff Baker",2073,425557
"Devin Mesoraco","- - -","Devin Mesoraco",1.703692606465122,"Devin Mesoraco",5666,519023
"Jonny DeLuca","- - -","Jonny DeLuca",1.6806272189336395,"Jonny DeLuca",26365,676356
"Norris Hopper","CIN","Norris Hopper",1.6794478865318552,"Norris Hopper",2450,440361
"Dairon Blanco","KCR","Dairon Blanco",1.6785013787433951,"Dairon Blanco",19779,680118
"Mickey Moniak","- - -","Mickey Moniak",1.6749098294942013,"Mickey Moniak",19956,666160
"Nolan Reimold","- - -","Nolan Reimold",1.6679261765558007,"Nolan Reimold",3441,460099
"Andrew Toles","LAD","Andrew Toles",1.6634184458717214,"Andrew Toles",13414,592808
"Joey Rickard","- - -","Joey Rickard",1.6541954585006102,"Joey Rickard",13277,572073
"Geoff Blum","- - -","Geoff Blum",1.6441812149286488,"Geoff Blum",550,150398
"Clayton Kershaw","LAD","Clayton Kershaw",1.643984323402206,"Clayton Kershaw",2036,477132
"Jemile Weeks","- - -","Jemile Weeks",1.6357915856850476,"Jemile Weeks",2498,457789
"Daniel Schneemann","CLE","Daniel Schneemann",1.6354006649865434,"Daniel Schneemann",25180,682177
"Ryon Healy","- - -","Ryon Healy",1.6346197673872214,"Ryon Healy",15447,592387
"Bobby Wilson","- - -","Bobby Wilson",1.632372972569833,"Bobby Wilson",6564,435064
"Doug Mientkiewicz","- - -","Doug Mientkiewicz",1.608816838512849,"Doug Mientkiewicz",741,137006
"Logan O'Hoppe","LAA","Logan O'Hoppe",1.6069175520902266,"Logan O'Hoppe",24729,681351
"Jason Michaels","- - -","Jason Michaels",1.6001628088083746,"Jason Michaels",1399,346859
"Tadahito Iguchi","- - -","Tadahito Iguchi",1.5909670136791447,"Tadahito Iguchi",8581,435338
"Jake Arrieta","- - -","Jake Arrieta",1.5897763145599408,"Jake Arrieta",4153,453562
"Colin Moran","- - -","Colin Moran",1.5857116921285366,"Colin Moran",16909,592567
"Stuart Fairchild","- - -","Stuart Fairchild",1.583610073021,"Stuart Fairchild",20321,656413
"Geoff Jenkins","- - -","Geoff Jenkins",1.5685104996435653,"Geoff Jenkins",690,132961
"Emmanuel Rivera","- - -","Emmanuel Rivera",1.564911477460681,"Emmanuel Rivera",19890,656896
"Luke Keaschall","MIN","Luke Keaschall",1.5608990660077635,"Luke Keaschall",33321,807712
"Cameron Rupp","PHI","Cameron Rupp",1.555677570762515,"Cameron Rupp",11146,519237
"Frank Thomas","- - -","Frank Thomas",1.553306410470201,"Frank Thomas",255,123245
"Conor Gillaspie","- - -","Conor Gillaspie",1.5509703896396694,"Conor Gillaspie",9009,543216
"Alexi Casilla","- - -","Alexi Casilla",1.5506791777204982,"Alexi Casilla",5248,458210
"Brayan Peña","- - -","Brayan Peña",1.546850503982108,"Brayan Pena",3231,430910
"David Hamilton","BOS","David Hamilton",1.5455938449617093,"David Hamilton",27531,666152
"Oswaldo Cabrera","NYY","Oswaldo Cabrera",1.5415602593251923,"Oswaldo Cabrera",21707,665828
"Wilmer Difo","- - -","Wilmer Difo",1.5401478554369046,"Wilmer Difo",14320,594694
"Masataka Yoshida","BOS","Masataka Yoshida",1.5396094993571694,"Masataka Yoshida",31837,807799
"Scott Sizemore","- - -","Scott Sizemore",1.5381574019942277,"Scott Sizemore",2881,502003
"Hernán Pérez","- - -","Hernán Pérez",1.535405464815819,"Hernan Perez",5751,541650
"Tim Locastro","- - -","Tim Locastro",1.5203298610034799,"Tim Locastro",15124,641796
"Germán Márquez","COL","Germán Márquez",1.5140988287123123,"German Marquez",15038,608566
"Taylor Teagarden","- - -","Taylor Teagarden",1.5131930768372248,"Taylor Teagarden",5199,460003
"Skip Schumaker","- - -","Skip Schumaker",1.5045486542178828,"Skip Schumaker",3704,435401
"Tony Wolters","- - -","Tony Wolters",1.499000938636354,"Tony Wolters",11470,547172
"Ray Durham","- - -","Ray Durham",1.4979048079009345,"Ray Durham",230,113660
"Ildemaro Vargas","- - -","Ildemaro Vargas",1.4861194935101372,"Ildemaro Vargas",13324,545121
"Tomás Nido","- - -","Tomás Nido",1.4820692956313666,"Tomas Nido",13755,621512
"Pavin Smith","ARI","Pavin Smith",1.4810592881757052,"Pavin Smith",19892,656976
"Jonathon Niese","- - -","Jonathon Niese",1.4776960914685353,"Jonathon Niese",4424,477003
"Raimel Tapia","- - -","Raimel Tapia",1.4720200640667314,"Raimel Tapia",14350,606132
"Matt Shaw","CHC","Matt Shaw",1.4585560674369669,"Matt Shaw",33322,807713
"Julio Borbon","- - -","Julio Borbon",1.4520076998533025,"Julio Borbon",3209,474865
"Shelley Duncan","- - -","Shelley Duncan",1.436843771542691,"Shelley Duncan",3620,455167
"Derek Hill","- - -","Derek Hill",1.4339297853516515,"Derek Hill",16947,656537
"Joey Gathright","- - -","Joey Gathright",1.4335001043860238,"Joey Gathright",3913,431157
"Aristides Aquino","CIN","Aristides Aquino",1.4313621853870473,"Aristides Aquino",15482,606157
"Richie Palacios","- - -","Richie Palacios",1.4274650043664487,"Richie Palacios",24589,680700
"Tyson Ross","- - -","Tyson Ross",1.4244010817837554,"Tyson Ross",7872,475115
"Daylen Lile","WSN","Daylen Lile",1.4058546438165314,"Daylen Lile",29995,695734
"Chris Getz","- - -","Chris Getz",1.4034259200994441,"Chris Getz",3388,460051
"Cam Gallagher","- - -","Cam Gallagher",1.4023458775915898,"Cam Gallagher",12981,595956
"Damion Easley","NYM","Damion Easley",1.4006652060631286,"Damion Easley",464,113702
"Noah Syndergaard","- - -","Noah Syndergaard",1.3887896378517581,"Noah Syndergaard",11762,592789
"Mike Carp","- - -","Mike Carp",1.3796145000279691,"Mike Carp",7480,455077
"Romy Gonzalez","- - -","Romy Gonzalez",1.3738283776267073,"Romy Gonzalez",21562,663853
"Victor Reyes","DET","Victor Reyes",1.3727559960881233,"Victor Reyes",15487,622682
"Hyun Jin Ryu","- - -","Hyun Jin Ryu",1.3648078102360488,"Hyun Jin Ryu",14444,547943
"Alek Thomas","ARI","Alek Thomas",1.3646371872814345,"Alek Thomas",23792,677950
"Willy Aybar","TBR","Willy Aybar",1.363154167054002,"Willy Aybar",2192,430632
"Greg Allen","- - -","Greg Allen",1.3596221819554104,"Greg Allen",16623,656185
"Chase Meidroth","CHW","Chase Meidroth",1.3494073567407672,"Chase Meidroth",31580,805367
"Jason Delay","PIT","Jason Delay",1.3451783878683505,"Jason Delay",19806,641511
"Quintin Berry","- - -","Quintin Berry",1.3396453520158733,"Quintin Berry",9414,450641
"Kristopher Negrón","- - -","Kristopher Negrón",1.3384873255454057,"Kristopher Negron",5306,502117
"George Kottaras","- - -","George Kottaras",1.3382288289772628,"George Kottaras",5506,435459
"Matt Stairs","- - -","Matt Stairs",1.3377570907477356,"Matt Stairs",1384,122644
"T.J. Rivera","NYM","T.J. Rivera",1.337721580577764,"T.J. Rivera",12495,608061
"Hanser Alberto","- - -","Hanser Alberto",1.3264585496761772,"Hanser Alberto",11902,593643
"Jose Miranda","MIN","Jose Miranda",1.3253155931493907,"Jose Miranda",20538,669304
"Jayson Nix","- - -","Jayson Nix",1.3223709061715676,"Jayson Nix",3790,434624
"Jason Repko","- - -","Jason Repko",1.3162710925508918,"Jason Repko",2628,434705
"Cole Hamels","- - -","Cole Hamels",1.3128243923066663,"Cole Hamels",4972,430935
"Sam Hilliard","- - -","Sam Hilliard",1.3118334432427425,"Sam Hilliard",17954,656541
"Ed Lucas","MIA","Ed Lucas",1.3099374652084856,"Ed Lucas",7532,448296
"Clete Thomas","- - -","Clete Thomas",1.3072304562636317,"Clete Thomas",3373,460004
"Esteban German","- - -","Esteban German",1.3070946978624047,"Esteban German",1449,407397
"Juan Rivera","- - -","Juan Rivera",1.302705666378015,"Juan Rivera",843,407487
"Denzel Clarke","ATH","Denzel Clarke",1.3022127671740222,"Denzel Clarke",29858,672016
"Braden Looper","- - -","Braden Looper",1.2998236449993077,"Braden Looper",526,131702
"Victor Scott II","STL","Victor Scott II",1.2995593004501926,"Victor Scott II",31349,687363
"Sam Haggerty","- - -","Sam Haggerty",1.2951977213634147,"Sam Haggerty",18054,664059
"Jeremy Hazelbaker","- - -","Jeremy Hazelbaker",1.279477484582163,"Jeremy Hazelbaker",9399,571757
"John Baker","- - -","John Baker",1.2780432117568423,"John Baker",4756,434633
"Jason Varitek","BOS","Jason Varitek",1.264695581432934,"Jason Varitek",217,123660
"Jarrett Parker","- - -","Jarrett Parker",1.2577787279155204,"Jarrett Parker",11624,592620
